# Mass sigma dsigma2/dM
1.380384264602886719e+13 1.393401931728193155e+00 -5.136233105695836844e-14
1.445439770745927930e+13 1.381711551236207258e+00 -4.842529366003909611e-14
1.513561248436207227e+13 1.370072726224041526e+00 -4.565337687610686187e-14
1.584893192461110938e+13 1.358485554639414117e+00 -4.303744397061834382e-14
1.659586907437563086e+13 1.346950133631360957e+00 -4.056885902722265077e-14
1.737800828749376367e+13 1.335466559545660958e+00 -3.823945546652100505e-14
1.819700858609982422e+13 1.324034927820909591e+00 -3.604151155207420356e-14
1.905460717963252344e+13 1.312655332988874379e+00 -3.396772856264402639e-14
1.995262314968882812e+13 1.301327868693544110e+00 -3.201120736237588284e-14
2.089296130854041016e+13 1.290052627663920592e+00 -3.016542596357154794e-14
2.187761623949551953e+13 1.278829701677092645e+00 -2.842421925520146754e-14
2.290867652767769922e+13 1.267659181535041535e+00 -2.678176005498817965e-14
2.398832919019485156e+13 1.256541157048256308e+00 -2.523254095516478774e-14
2.511886431509582031e+13 1.245475717017979767e+00 -2.377135699032495659e-14
2.630267991895381641e+13 1.234462949216062366e+00 -2.239328921613723293e-14
2.754228703338163281e+13 1.223502940364119329e+00 -2.109368919163290258e-14
2.884031503126611719e+13 1.212595776113374324e+00 -1.986816432166971936e-14
3.019951720402019141e+13 1.201741541025086235e+00 -1.871256403642608358e-14
3.162277660168379297e+13 1.190940318547992538e+00 -1.762296678725531533e-14
3.311311214825907812e+13 1.180192190984889589e+00 -1.659566770036783692e-14
3.467368504525309766e+13 1.169497239449796666e+00 -1.562716644915458026e-14
3.630780547701017969e+13 1.158855543858581028e+00 -1.471415518916004549e-14
3.801893963205612500e+13 1.148267183000738489e+00 -1.385350819344596541e-14
3.981071705534969531e+13 1.137732234545597132e+00 -1.304227496614689678e-14
4.168693834703363281e+13 1.127250774754070095e+00 -1.227767140663795403e-14
4.365158322401665625e+13 1.116822878388690876e+00 -1.155706381008594659e-14
4.570881896148751562e+13 1.106448619220710361e+00 -1.087796138324031352e-14
4.786300923226380469e+13 1.096128069854245712e+00 -1.023801720426776389e-14
5.011872336272714844e+13 1.085861301310890203e+00 -9.635015550714233218e-15
5.248074602497733594e+13 1.075648383116725837e+00 -9.066863038902318411e-15
5.495408738576248438e+13 1.065489383431844406e+00 -8.531579405073206086e-15
5.754399373371566406e+13 1.055384369284726898e+00 -8.027296511531294918e-15
6.025595860743592969e+13 1.045333406234781437e+00 -7.552252716806763538e-15
6.309573444801942969e+13 1.035336558112599503e+00 -7.104785400298137421e-15
6.606934480075964062e+13 1.025393887196556664e+00 -6.683322319598190816e-15
6.918309709189362500e+13 1.015505454457275913e+00 -6.286378187967739430e-15
7.244359600749890625e+13 1.005671319479948700e+00 -5.912553009551849354e-15
7.585775750291820312e+13 9.958915401182824034e-01 -5.560526902497389480e-15
7.943282347242821875e+13 9.861661724067988244e-01 -5.229052856995282766e-15
8.317637711026709375e+13 9.764952708438763285e-01 -4.916952131396843072e-15
8.709635899560796875e+13 9.668788885381430775e-01 -4.623112801351422649e-15
9.120108393559115625e+13 9.573170769304655270e-01 -4.346487395214663081e-15
9.549925860214368750e+13 9.478098855014490676e-01 -4.086087686606543359e-15
1.000000000000000000e+14 9.383573619028289237e-01 -3.840979640760442598e-15
1.047128548050898438e+14 9.289595522570064379e-01 -3.610281280171434987e-15
1.096478196143182812e+14 9.196165010880438251e-01 -3.393161695582616170e-15
1.148153621496884062e+14 9.103282509474250883e-01 -3.188838071840090160e-15
1.202264434617413125e+14 9.010948423019270459e-01 -2.996571239576867505e-15
1.258925411794166250e+14 8.919163138255181700e-01 -2.815662766075564491e-15
1.318256738556410156e+14 8.827927025695924135e-01 -2.645454116227747291e-15
1.380384264602886719e+14 8.737240436851424485e-01 -2.485325352616696732e-15
1.445439770745928125e+14 8.647103700945640847e-01 -2.334692008043116250e-15
1.513561248436207188e+14 8.557517126141780395e-01 -2.193001919742596646e-15
1.584893192461110938e+14 8.468481002687097137e-01 -2.059733903078101856e-15
1.659586907437556250e+14 8.379995602462023685e-01 -1.934397259835000805e-15
1.737800828749376250e+14 8.292061175026697040e-01 -1.816530028286647313e-15
1.819700858609982500e+14 8.204677946192880933e-01 -1.705696271898052753e-15
1.905460717963252188e+14 8.117846121033207574e-01 -1.601484248886304482e-15
1.995262314968882812e+14 8.031565885912920200e-01 -1.503505926676079940e-15
2.089296130854040938e+14 7.945837405724467395e-01 -1.411396284843775462e-15
2.187761623949551875e+14 7.860660820364196999e-01 -1.324811441722883125e-15
2.290867652767770000e+14 7.776036245795437951e-01 -1.243426685983405026e-15
2.398832919019485000e+14 7.691963777568591176e-01 -1.166935647014002499e-15
2.511886431509582188e+14 7.608443490619453131e-01 -1.095050050284892093e-15
2.630267991895381562e+14 7.525475435184663109e-01 -1.027498754903340932e-15
2.754228703338174688e+14 7.443059635019210196e-01 -9.640260499768545541e-16
2.884031503126611875e+14 7.361196090817369031e-01 -9.043904639692842063e-16
3.019951720402019375e+14 7.279884782405564581e-01 -8.483646759281231459e-16
3.162277660168379375e+14 7.199125665851134892e-01 -7.957348415454225229e-16
3.311311214825907500e+14 7.118918670507762281e-01 -7.462998430479445073e-16
3.467368504525309375e+14 7.039263698516123879e-01 -6.998697293188803567e-16
3.630780547701017500e+14 6.960160630387868252e-01 -6.562654398760445555e-16
3.801893963205612500e+14 6.881609323157819036e-01 -6.153186102226102972e-16
3.981071705534985625e+14 6.803609607934490988e-01 -5.768709254666732252e-16
4.168693834703363750e+14 6.726161286344665147e-01 -5.407733381189193613e-16
4.365158322401665625e+14 6.649264134759841349e-01 -5.068850165233086002e-16
4.570881896148751875e+14 6.572917906573808589e-01 -4.750735631119673237e-16
4.786300923226380000e+14 6.497122329301437960e-01 -4.452144676538229213e-16
5.011872336272714375e+14 6.421877101273772981e-01 -4.171907636913766315e-16
5.248074602497712500e+14 6.347181890831332662e-01 -3.908920442049355952e-16
5.495408738576248125e+14 6.273036342215272398e-01 -3.662142588826103888e-16
5.754399373371566250e+14 6.199440073849614707e-01 -3.430596652523488218e-16
6.025595860743593750e+14 6.126392675731325843e-01 -3.213364231525731187e-16
6.309573444801942500e+14 6.053893705522851443e-01 -3.009581545716683982e-16
6.606934480075965000e+14 5.981942692686565977e-01 -2.818432638126954250e-16
6.918309709189362500e+14 5.910539141404598240e-01 -2.639150951370278043e-16
7.244359600749891250e+14 5.839682527536671497e-01 -2.471016199447194540e-16
7.585775750291820000e+14 5.769372295307787502e-01 -2.313352371760671847e-16
7.943282347242821250e+14 5.699607856117433480e-01 -2.165521821032839363e-16
8.317637711026708750e+14 5.630388595052827627e-01 -2.026923784604568254e-16
8.709635899560832500e+14 5.561713869524532727e-01 -1.896994444177437699e-16
9.120108393559115000e+14 5.493583006658235846e-01 -1.775204488023285866e-16
9.549925860214368750e+14 5.425995299151796791e-01 -1.661056567607273293e-16
1.000000000000000000e+15 5.358950009479669374e-01 -1.554081084668383438e-16
1.047128548050898500e+15 5.292446373647435864e-01 -1.453837084952864087e-16
1.096478196143182875e+15 5.226483597931331770e-01 -1.359910661426819546e-16
1.148153621496884000e+15 5.161060855787396040e-01 -1.271913798649470870e-16
1.202264434617413000e+15 5.096177286105106896e-01 -1.189480683504186237e-16
1.258925411794171250e+15 5.031832000215307188e-01 -1.112266800278383749e-16
1.318256738556410000e+15 4.968024081062253905e-01 -1.039949223569756755e-16
1.380384264602886750e+15 4.904752580320040911e-01 -9.722249314823232330e-17
1.445439770745928000e+15 4.842016513918164233e-01 -9.088096291813443732e-17
1.513561248436207250e+15 4.779814866266856033e-01 -8.494349417709119752e-17
1.584893192461111000e+15 4.718146594712349651e-01 -7.938490232201785581e-17
1.659586907437556250e+15 4.657010626187899072e-01 -7.418157386347726360e-17
1.737800828749376250e+15 4.596405854126573987e-01 -6.931139563532103092e-17
1.819700858609982500e+15 4.536331136153098909e-01 -6.475353771237228497e-17
1.905460717963252250e+15 4.476785301718593790e-01 -6.048838802578983724e-17
1.995262314968882750e+15 4.417767151683980043e-01 -5.649758353929736954e-17
2.089296130854040750e+15 4.359275455171342517e-01 -5.276390915212260300e-17
2.187761623949551750e+15 4.301308944763583830e-01 -4.927123534623108524e-17
2.290867652767770000e+15 4.243866320408216652e-01 -4.600433973132064709e-17
2.398832919019485000e+15 4.186946254599137052e-01 -4.294894747805503463e-17
2.511886431509582000e+15 4.130547388733636360e-01 -4.009169045618893624e-17
2.630267991895381500e+15 4.074668329777330067e-01 -3.742006359676844735e-17
2.754228703338174500e+15 4.019307647145161644e-01 -3.492229880030694920e-17
2.884031503126611500e+15 3.964463880836429643e-01 -3.258731821263448298e-17
3.019951720402019000e+15 3.910135541461468578e-01 -3.040476167806458292e-17
3.162277660168379500e+15 3.856321106879673222e-01 -2.836492578808495044e-17
3.311311214825907500e+15 3.803019017329737350e-01 -2.645873292930082516e-17
3.467368504525309500e+15 3.750227679358988375e-01 -2.467761751047870005e-17
3.630780547701017500e+15 3.697945472359913666e-01 -2.301355221624948248e-17
3.801893963205612500e+15 3.646170745287082293e-01 -2.145902944334661656e-17
3.981071705534985500e+15 3.594901813687680914e-01 -2.000703437312118129e-17
4.168693834703363500e+15 3.544136956267780469e-01 -1.865097282539798891e-17
4.365158322401665500e+15 3.493874423911643157e-01 -1.738463797603900237e-17
4.570881896148752000e+15 3.444112440375335926e-01 -1.620223257500342373e-17
4.786300923226380000e+15 3.394849198488046893e-01 -1.509833278991622140e-17
5.011872336272715000e+15 3.346082854749081736e-01 -1.406787321539508185e-17
5.248074602497712000e+15 3.297811532485420138e-01 -1.310607507253521924e-17
5.495408738576248000e+15 3.250033329058802378e-01 -1.220846286128348033e-17
5.754399373371566000e+15 3.202746312178445520e-01 -1.137085707425696335e-17
6.025595860743593000e+15 3.155948516646660540e-01 -1.058935723848410502e-17
6.309573444801943000e+15 3.109637940210331908e-01 -9.860301318930529921e-18
6.606934480075964000e+15 3.063812553469898448e-01 -9.180242251689676563e-18
6.918309709189363000e+15 3.018470301663499500e-01 -8.545964640826869687e-18
7.244359600749891000e+15 2.973609100895510116e-01 -7.954463692863663506e-18
7.585775750291820000e+15 2.929226832778609180e-01 -7.402938228964049748e-18
7.943282347242822000e+15 2.885321347127347003e-01 -6.888746023327049977e-18
8.317637711026709000e+15 2.841890470082264475e-01 -6.409414087549764718e-18
8.709635899560832000e+15 2.798931999770615242e-01 -5.962636805626323667e-18
9.120108393559116000e+15 2.756443702069186208e-01 -5.546265331269988043e-18
9.549925860214368000e+15 2.714423304704546847e-01 -5.158285234878559122e-18
1.000000000000000000e+16 2.672868506935760502e-01 -4.796799916753815711e-18
